TF	file	PeakCount
HaibTfbsGm12878NrsfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878NrsfPcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	3446
HaibTfbsGm12878Oct2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Oct2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	17931
HaibTfbsGm12878P300Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878P300Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	2830
HaibTfbsGm12878Pax5c20Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pax5c20Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	17526
HaibTfbsGm12878Pax5n19Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pax5n19Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	12221
HaibTfbsGm12878Pbx3Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pbx3Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	7211
HaibTfbsGm12878Pol24h8Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol24h8Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	16096
HaibTfbsGm12878Pol2Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pol2Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	21256
HaibTfbsGm12878Pou2f2Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pou2f2Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	18077
HaibTfbsGm12878Pu1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Pu1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	29542
HaibTfbsGm12878Rad21V0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878Rad21V0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	33355
HaibTfbsGm12878RxraPcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878RxraPcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	5649
HaibTfbsGm12878Sin3ak20Pcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Sin3ak20Pcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	5859
HaibTfbsGm12878Six5Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Six5Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	4669
HaibTfbsGm12878Sp1Pcr1x	peakSeq.optimal.wgEncodeHaibTfbsGm12878Sp1Pcr1xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr1xAlnRep0.narrowPeak	10335
HaibTfbsGm12878SrfPcr2x	peakSeq.optimal.wgEncodeHaibTfbsGm12878SrfPcr2xAlnRep0_vs_wgEncodeHaibTfbsGm12878ControlPcr2xAlnRep0.narrowPeak	1728
HaibTfbsGm12878SrfV0416101	peakSeq.optimal.wgEncodeHaibTfbsGm12878SrfV0416101AlnRep0_vs_wgEncodeHaibTfbsGm12878ControlV0416101AlnRep0.narrowPeak	9094
